date,sentiment_mean,sentiment_squared_mean,sentiment_sqrt_mean,sentiment_with_prob
10/8/2020,-0.212,-0.01,-0.236,[-10.674   3.674]
10/9/2020,-0.091,0.213,-0.287,[-28.412  -1.588]
10/10/2020,-0.45,-0.516,-0.417,[-5.59  0.59]
10/11/2020,-0.249,-0.48,-0.058,[-4.124  4.124]
10/12/2020,-0.241,-0.415,-0.169,[-8.807  6.807]
10/13/2020,-0.504,-0.557,-0.469,[-42.243   3.243]
10/14/2020,-0.28,-0.302,-0.266,[-122.879   36.879]
10/15/2020,-0.537,-0.588,-0.518,[-219.228  -29.772]
10/16/2020,-0.562,-0.493,-0.585,[-82.004 -19.996]
10/17/2020,-0.422,-0.401,-0.439,[-30.116  -4.884]
10/18/2020,-0.41,-0.429,-0.38,[-19.023   6.023]
10/19/2020,-0.565,-0.516,-0.513,[-15.243   0.243]
10/20/2020,-0.098,-0.036,-0.161,[-15.938   5.938]
10/21/2020,-0.52,-0.543,-0.533,[-33.39  -5.61]
10/22/2020,-0.609,-0.65,-0.606,[-52.556  -8.444]
10/23/2020,-0.167,0.029,-0.275,[-16.217   1.217]
10/24/2020,-0.977,-0.998,-0.931,[-12.254   4.254]
10/25/2020,0.327,0.362,0.358,[-0.506  8.506]
10/26/2020,-0.526,-0.727,-0.427,[-17.091   1.091]
10/27/2020,-0.045,-0.251,0.056,[-4.708 12.708]
10/28/2020,-0.482,-0.45,-0.481,[-37.836   0.836]
10/29/2020,-0.206,-0.122,-0.273,[-32.493 -10.507]
10/30/2020,-0.284,-0.278,-0.322,[-18.707  -4.293]
10/31/2020,0.283,0.288,0.348,[-7.034  3.034]
11/1/2020,0.456,0.459,0.435,[-1.879 75.879]
11/2/2020,-0.409,-0.433,-0.363,[-15.981  -0.019]
11/3/2020,0.19,0.103,0.254,[-7.996  9.996]
11/4/2020,-0.157,-0.244,-0.126,[-7.178  3.178]
11/5/2020,-0.616,-0.474,-0.677,[-40.15  -6.85]
11/6/2020,-0.51,-0.677,-0.478,[-17.93   0.93]
11/7/2020,-0.471,-0.684,-0.394,[-17.78  -0.22]
11/8/2020,-0.133,-0.024,-0.184,[-10.597   2.597]
11/9/2020,-0.818,-0.941,-0.712,[-6.331  1.331]
11/10/2020,-0.469,-0.479,-0.467,[-33.796   0.796]
11/11/2020,-0.367,-0.225,-0.444,[-32.793   1.793]
11/12/2020,-0.239,-0.216,-0.256,[-18.279   4.279]
11/13/2020,-0.397,-0.371,-0.43,[-40.686  -3.314]
11/14/2020,-0.156,-0.083,-0.228,[-4.077 -0.923]
