date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
10/15/2020,-0.252,-0.173,-0.323,-0.191,-0.245,-0.17
10/16/2020,0.424,0.514,0.381,0.37,0.471,0.306
10/17/2020,-0.113,-0.274,-0.047,0.096,0.037,0.115
10/18/2020,-0.32,-0.506,-0.208,-0.069,-0.178,-0.009
10/19/2020,-0.05,-0.213,-0.007,0.367,0.325,0.361
10/20/2020,0.465,0.553,0.464,0.316,0.29,0.345
10/21/2020,0.318,0.28,0.35,0.177,0.131,0.211
10/22/2020,0.524,0.604,0.483,0.442,0.515,0.397
10/23/2020,-0.377,-0.535,-0.27,-0.033,-0.103,0.004
10/24/2020,-0.243,-0.496,-0.116,-0.045,-0.108,-0.016
10/25/2020,-1.0,-1.0,-0.999,-0.497,-0.402,-0.54
10/26/2020,0.165,0.391,0.072,0.202,0.32,0.149
10/27/2020,0.595,0.709,0.506,0.258,0.295,0.232
10/28/2020,1.0,1.0,0.999,0.788,0.838,0.72
10/29/2020,0.32,0.58,0.164,0.276,0.354,0.229
10/30/2020,1.0,1.0,1.0,0.471,0.421,0.524
10/31/2020,-0.773,-0.939,-0.594,-0.371,-0.478,-0.289
11/1/2020,0.866,0.954,0.799,0.371,0.331,0.403
11/2/2020,1.0,1.0,0.999,0.418,0.44,0.418
11/3/2020,0.132,-0.04,0.121,0.011,-0.192,0.085
11/4/2020,1.0,1.0,1.0,0.504,0.549,0.475
11/5/2020,-0.016,-0.036,-0.008,-0.086,-0.107,-0.076
11/6/2020,1.0,1.0,0.999,0.061,0.061,0.061
11/7/2020,0.919,0.988,0.805,0.562,0.587,0.517
11/8/2020,0.306,0.415,0.232,0.188,0.201,0.171
11/9/2020,-0.723,-0.85,-0.625,-0.218,-0.257,-0.191
11/10/2020,-0.212,-0.303,-0.158,0.004,-0.026,0.035
11/11/2020,0.057,0.332,-0.125,-0.219,-0.098,-0.3
11/12/2020,-0.477,-0.777,-0.254,0.009,-0.081,0.075
11/13/2020,0.999,1.0,0.998,0.413,0.318,0.469
11/14/2020,1.0,1.0,0.999,0.135,0.135,0.135
